year,type,num,kosen,title,youtube,body
2020,自由部門,11,ハノイ国家大,UET-TreeGuard,https://www.youtube.com/watch?v=YXLq_LzVBm4#t=3710,"In our beloved home country - Vietnam, deforestation has become more and more serious as the poachers are turning their action abusive through days.・・・"
2020,課題部門,1,弓削商船高専,くれこん Clay Computing,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=240,粘土遊びは、自分の手を動かして粘土に触れながら作品を完成させる遊びであり、子供の心を育む教育(情操教育)につながる経験である。自分の作品や他者の作品を見て評価し合うことで、個性の尊重や美的情操を育むことができる。しかし現在は、新型コロナウィルスに感染するリスクがあるため、誰かと一緒に粘土遊びをすることは好まれない。我々は、遠隔でも互いに評価しあえる粘土遊び支援システムを提供する。
2020,課題部門,2,岐阜高専,Why to Board 遠隔授業補助システム,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=1905,新型コロナウイルスの影響でビデオ会議を用いた遠隔授業の需要が高まっている。しかし、既存のシステムだと「聞き手同士で相談する」「話し手が聞き手の反応を確認する」といったことが難しいといった欠点がある。そのため対面授業に比べて遠隔授業は疑問点がそのままになってしまいやすく、授業の質が低下しやすいといった側面がある。そこで私たちは教師と学生間のコミュニケーションを円滑にし、学生同士の教え合いを補助・・・
2020,課題部門,3,一関高専,ヨクミテネ 重症心身障害者向け視線入力導入支援システム,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=3705,"支援学校での重症心身障害者の学習は介助者が手を掴んでスイッチを押すなどの受動的になりがちです。
その理由として、外部へ表現する力が弱く、周りができないと評価していることがあげられます。
手足が不自由な人の入力装置として視線入力装置があります。
視線入力がわずかでもできることがわかれば、その後の訓練次第で表現する手段として用いることができ、コミュニケーションの幅を広げることができます。
そこで・・・"
2020,課題部門,4,広島商船高専,英語しりとり KnoWord,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=5505,"コロナウイルスの影響で自宅で過ごす時間が増え、リモート作業が主流となりビデオ通話が当たり前に使われるようになった。ビデオ通話の利点は、普段会えない人とも簡単に繋がることができる点にある。
一方、日本人は英語に苦手意識を持つ人が多い一方、話せるようになりたいと考えている人も多い。英語に慣れ親しむためには日々接することが大事で、英語力の基盤となるのが文法力や語彙力といわれている。
英語しりとり・・・"
2020,課題部門,5,阿南高専,PINT 時空を超えて楽しく学ぶ遠隔授業支援ツール,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=7305,今年のはやり病の影響もあり、遠隔授業が多く行われています。なかでも、授業動画を共有してそれを学生が閲覧するオンデマンド授業は、通信環境が高速でなくても安定して閲覧でき多く採用されています。しかし、オンデマンド授業では一人で動画を見るため授業内容の難しい部分を誰かに尋ねられずに困ることや、勉強および動画視聴そのものにモチベーションが保てないことが頻繁にあります。そこで、クラスメイトに気軽に質問・・・
2020,課題部門,6,東京高専,ぷらんとこれくしょん 体験型植物観察学習システム,https://www.youtube.com/watch?v=JJvg79qdQZs#t=150,"小学校の学習指導要領において「観察学習」の目的は,「昆虫や植物について興味・関心をもって追求する活動を通して、昆虫や植物の成長過程と体のつくりを比較する能力を育てる」と定められています。しかし,現状行われている「観察学習」は,児童が各々で昆虫や植物の形状や色を記録するものでコミュニケーションが生まれにくく,自主的・意欲的な学習という意味では,改善の余地があります。そこで私たちは,児童が興味関・・・"
2020,課題部門,7,鳥羽商船高専,ISHINDENSHIN,https://www.youtube.com/watch?v=JJvg79qdQZs#t=1870,"学校へ行けない現状、部活動を満足に行えていますか?コートが必要な競技や、多人数で行う競技は自宅で普段通りの練習をするのは難しいと思います。バレーボールのサーブ練習ならば1 人でもできるので自宅でも練習をすることが可能です。しかし自宅や公園で練習するのは、サーブがコートのどこに落ちているのがわからないうえに、部活動としての一体感を出すことができません。
そこで私たちはスマートフォンでサーブを分・・・"
2020,課題部門,8,福井高専,Labocket XRによる理科学習サポートアプリケーション,https://www.youtube.com/watch?v=JJvg79qdQZs#t=3670,近年、日本の「理科は面白い」と思う生徒の割合は、学年が上がるごとに減少する傾向にあります。また、国際教育到達度評価による国際比較調査でも、「理科の勉強は楽しい」と思う生徒の割合は21 か国中20 位であり、「理科は生活の中で大切である」や「将来、理科を使う仕事に就きたい」と思う生徒の割合については最下位の21 位という結果であるように、現在の日本では「理科離れ」の深刻化が叫ばれています。・・・
2020,課題部門,9,熊本高専(八代),元素ボールゲーム 化学をもっと楽しもう!,https://www.youtube.com/watch?v=JJvg79qdQZs#t=5470,"中学校で学習する元素記号や化学反応式などは、直感的に理解しづらい概念であり、苦手意識を持つ生徒もいます。例えば、化学反応式は複数の変化を一度に考える必要があり、数式のようで難しく感じてしまうことがあります。基礎の理解が深まらないと、その応用もよくわからないまま続けていく事になり、結果として学習に対する意欲がそがれてしまいます。
そこで私たちは、化学分野が複雑な概念であるという意識を減らし、・・・"
2020,課題部門,10,福井高専,オーラルボイス 機械学習による英語発音支援アプリケーション,https://www.youtube.com/watch?v=JJvg79qdQZs#t=7270,グローバル化が進む現在、英語を自然に話すということが重要視されており、検定試験を受ける志願者が年々増加している。ところが、日本人にとって英語の発音は難しく自然に会話ができることはおろか意味が通じないこともある。これは日本語のカタカナ英語によって正しい英語を発音できていないためとも言われている。発音を聞いて学ぶだけでは不十分であり、口の動かし方を学び、正確な発声をすることが自然な英会話において・・・
2020,課題部門,11,シンガポール・ポリテクニック,WIK,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=10070,Current pedagogy approach prescribes the same curricula for learners of all aptitudes via the Learning Management Systems (LMS) with formative assessment during the course and summative assessment・・・
2020,課題部門,12,香港VTC,Household Environmentalism,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=11800,"As humanity pollutes the environment at a rate of knots, the collapse of the global climate. It is crucial to educate and promote environmentalism. In Japan, the systems and culture for household・・・"
2020,課題部門,13,ハノイ国家大,WaPup VR,https://www.youtube.com/watch?v=kcQzS6G9lsA#t=13605,Vietnamese water puppetry is really strange and unique in the world. Its uniqueness is shown in that: the stage for puppet performance shows is in and on water and puppets are controlled remotely・・・
